"","Chr","start","end","strand","length","ENSMID","geneName","geneType","simpleType","ProR1","ProR2","BasoR1","BasoR2","PolyR1","PolyR2","OrthoR1","OrthoR2"
"ENSG00000219481.10_2","chr1",16888814,16940057,"-",51243,"ENSG00000219481.10_2","NBPF1","protein_coding","Protein_coding","0.653000176751249","0.723222964508879","0.757507823159156","0.773366237368101","0.938598148906293","1.14096773243949","1.60556223561056","1.32545465855993"
"ENSG00000117118.9_2","chr1",17345217,17380665,"-",35448,"ENSG00000117118.9_2","SDHB","protein_coding","Protein_coding","3.32518003614963","4.04761258329707","3.32388208930135","2.90190398330124","2.63498538890618","2.93016735858071","3.04044359293085","2.589606589567"
"ENSG00000162542.13_2","chr1",20008706,20126438,"-",117732,"ENSG00000162542.13_2","TMCO4","protein_coding","Protein_coding","0.178902785511872","0.194095877223505","0.0999330817298305","0.0729756970091061","0.0370041681380178","0.0417118928656254","0.0154085479270894","0.0314955227683833"
"ENSG00000158828.7_3","chr1",20959948,20978004,"+",18056,"ENSG00000158828.7_3","PINK1","protein_coding","Protein_coding","2.3858519505741","1.87403055657014","4.68963026469208","4.2867509092214","6.63040947021632","7.63589478585851","14.1662141228315","12.6824056928423"
"ENSG00000244038.9_4","chr1",20978260,20988037,"-",9777,"ENSG00000244038.9_4","DDOST","protein_coding","Protein_coding","44.1428089024061","45.5164506264634","27.8179859316864","27.478865173475","20.2478015161449","22.3847799057886","16.000577918364","15.0871716746652"
"ENSG00000117682.16_2","chr1",26758773,26797785,"+",39012,"ENSG00000117682.16_2","DHDDS","protein_coding","Protein_coding","2.82785411440994","2.90997810311985","2.21453730270636","1.95825269018461","1.93417087578845","1.8430709597744","1.50716464265626","1.38168018870623"
"ENSG00000198830.10_2","chr1",26798941,26802463,"+",3522,"ENSG00000198830.10_2","HMGN2","protein_coding","Protein_coding","474.18060987484","490.958155831939","732.354778517783","699.185431593903","765.678521770682","824.521620837175","523.584561623154","476.747561945184"
"ENSG00000009780.15_3","chr1",28052490,28089633,"+",37143,"ENSG00000009780.15_3","FAM76A","protein_coding","Protein_coding","1.07635803492504","1.06284032929494","1.2947749354981","1.14196652883348","1.31836146485341","1.34958063295047","0.991172925894472","0.942309290528133"
"ENSG00000060656.19_2","chr1",29563028,29653325,"+",90297,"ENSG00000060656.19_2","PTPRU","protein_coding","Protein_coding","0.00616155697548972","0.00162223180720699","0.00380425749227595","0.0042859438528911","0","0.0020522734393089","0.0118177280630918","0.0030047436034803"
"ENSG00000163866.8_3","chr1",35178338,35325417,"-",147079,"ENSG00000163866.8_3","SMIM12","protein_coding","Protein_coding","0.511758495555215","0.495980849860919","0.628851744243067","0.546256326496263","0.614924572876843","0.696759676883509","0.650076782040974","0.548496262058275"
"ENSG00000010803.16_2","chr1",41492872,41707826,"-",214954,"ENSG00000010803.16_2","SCMH1","protein_coding","Protein_coding","0.418568600567218","0.449082485375702","0.258089431985339","0.279785550964079","0.171057485155056","0.204320226353445","0.124605009964533","0.121593902702036"
"ENSG00000198520.10_4","chr1",45140364,45191263,"+",50899,"ENSG00000198520.10_4","C1orf228","protein_coding","Protein_coding","0.00780776089083697","0.0129505883166499","0","0.00152068949128473","0","0.00182041036905711","0.00209651543431697","0.00710739132172763"
"ENSG00000117481.10_3","chr1",46805849,46830824,"+",24975,"ENSG00000117481.10_3","NSUN4","protein_coding","Protein_coding","6.67357712639796","6.90330719872072","5.2747647796655","5.01134517846366","3.94228583563113","4.11438189062957","3.60188125941804","3.43653049278778"
"ENSG00000117480.15_2","chr1",46859937,46879520,"+",19583,"ENSG00000117480.15_2","FAAH","protein_coding","Protein_coding","0.620980492285705","0.632067876952394","0.280662238700948","0.442678666940355","0.0978855577908925","0.231843757409859","0.28880450246841","0.180112920958229"
"ENSG00000169174.10_2","chr1",55505221,55530525,"+",25304,"ENSG00000169174.10_2","PCSK9","protein_coding","Protein_coding","2.2521417789662","2.2432039550844","0.217207106405337","0.244709372168516","0.0550942108533052","0.0292940459609984","0.00421714112754109","0.0250189078425575"
"ENSG00000134716.9_2","chr1",60358980,60392462,"-",33482,"ENSG00000134716.9_2","CYP2J2","protein_coding","Protein_coding","0.0617202542330236","0.0765619331631613","0.0615577991959933","0.0855342647818338","0.0468420912837058","0.0387431737424566","0.0127484067966429","0.0432183395119305"
"ENSG00000033122.18_3","chr1",70034081,70617628,"+",583547,"ENSG00000033122.18_3","LRRC7","protein_coding","Protein_coding","0.032552759574899","0.0387827746848747","0.0269313723216585","0.023211970112018","0.00627117056125572","0.0107972118466471","0.00731461487018524","0.0038745712736572"
"ENSG00000142892.14_3","chr1",77554675,77685115,"-",130440,"ENSG00000142892.14_3","PIGK","protein_coding","Protein_coding","0.982245386677906","1.04325664094755","1.26078555133352","1.22831385344209","1.25714100415665","1.29282323383809","0.876165189871067","0.886093498371928"
"ENSG00000162694.13_3","chr1",101337928,101361554,"-",23626,"ENSG00000162694.13_3","EXTL2","protein_coding","Protein_coding","1.96130034862203","2.10802108983432","0.730615855358379","0.681432636871054","0.088510787570814","0.0627492202655637","0.0858164836508378","0.114839301262787"
"ENSG00000162695.11_3","chr1",101361632,101447309,"+",85677,"ENSG00000162695.11_3","SLC30A7","protein_coding","Protein_coding","2.82944553573834","2.81674418342871","2.60410283608946","2.78792743268973","2.32277429598285","2.60526016673673","2.99168639071515","2.47430277645557"
"ENSG00000169242.11_2","chr1",155099936,155107333,"+",7397,"ENSG00000169242.11_2","EFNA1","protein_coding","Protein_coding","0.762901520410233","0.703005897672789","0.452785200500933","0.366237002107821","0.164910223401789","0.263052374593402","0.533769088330146","0.635780511220764"
"ENSG00000169241.17_2","chr1",155107820,155111333,"+",3513,"ENSG00000169241.17_2","SLC50A1","protein_coding","Protein_coding","41.5394055693628","39.2997188241918","26.2303935817666","24.7209127514272","15.4768154129944","14.8757717048949","20.1695980519849","15.0861684442346"
"ENSG00000179085.7_2","chr1",155112367,155113071,"-",704,"ENSG00000179085.7_2","DPM3","protein_coding","Protein_coding","38.3859248119664","40.1578898304067","46.5987147776902","56.0721632849713","46.2886064342668","44.4859215520279","42.5932691543398","45.0914232672229"
"ENSG00000125462.16_3","chr1",156374042,156400493,"-",26451,"ENSG00000125462.16_3","C1orf61","protein_coding","Protein_coding","0.00600971186847697","0.00276894381111054","0.00649338472609809","0","0.00658814369698704","0.0035029702988408","0.0282399067573664","0.0341914399157512"
"ENSG00000132694.18_2","chr1",156904632,157015162,"-",110530,"ENSG00000132694.18_2","ARHGEF11","protein_coding","Protein_coding","0.1833689342325","0.166984672508971","0.0248629721364365","0.0224088517265978","0.011036288089234","0.00754468113970634","0.0154471059934931","0.00981884857191571"
"ENSG00000163568.14_3","chr1",159032274,159116886,"-",84612,"ENSG00000163568.14_3","AIM2","protein_coding","Protein_coding","0.0187872746930795","0.0164466662199926","0.0466884123525088","0.0219547792985113","0.0288337569730778","0.0164262280837183","0.0353128999971209","0.0245841593105769"
"ENSG00000118217.5_3","chr1",161736084,161933860,"+",197776,"ENSG00000118217.5_3","ATF6","protein_coding","Protein_coding","2.97669615146746","2.99666726293517","3.34696639495762","3.24906900134049","3.57819956941533","3.72266128023053","3.27940021335713","2.9430790865087"
"ENSG00000198929.12_4","chr1",162039564,162340265,"+",300701,"ENSG00000198929.12_4","NOS1AP","protein_coding","Protein_coding","0.0023788846689864","0.00146141182266141","0.00142796764385569","0.00386105671831329","0.00115904495780862","0.00184882126846212","0.00141949031218785","0.000902289427582419"
"ENSG00000213064.9_2","chr1",168195176,168222263,"+",27087,"ENSG00000213064.9_2","SFT2D2","protein_coding","Protein_coding","31.5789605247767","33.3529678237786","27.8524942378508","27.8579373496649","26.6216357731834","26.8800249355744","21.5729653362852","17.7293616753175"
"ENSG00000075391.16_3","chr1",178063276,178453282,"+",390006,"ENSG00000075391.16_3","RASAL2","protein_coding","Protein_coding","0.0171188169479176","0.0142724503951838","0.0151936121981603","0.0132969889846115","0.00848960474877587","0.00997829989727028","0.00930282695421144","0.00950762523286129"
"ENSG00000230124.6_3","chr1",180238788,180472089,"-",233301,"ENSG00000230124.6_3","ACBD6","protein_coding","Protein_coding","0.603347769124848","0.60024358324042","0.397180647365061","0.368593144380769","0.164327874995739","0.160848484518834","0.107030257681554","0.107379815897744"
"ENSG00000143341.11_2","chr1",185703683,186160081,"+",456398,"ENSG00000143341.11_2","HMCN1","protein_coding","Protein_coding","0.00208979296972929","0.00224667649391011","0.000564495854681727","0.000508776820342562","0","0.000812072510174347","0.000935241075476226","0.00059447967161"
"ENSG00000116690.12_3","chr1",186265411,186283694,"+",18283,"ENSG00000116690.12_3","PRG4","protein_coding","Protein_coding","0.165196897884844","0.0520777402898814","0.0892461266862766","0.110071702392356","0.142971330412682","0.101358712874953","0.122568578511037","0.108826511506065"
"ENSG00000133056.13_3","chr1",204391756,204463852,"-",72096,"ENSG00000133056.13_3","PIK3C2B","protein_coding","Protein_coding","0.0396878050848247","0.0528260833177931","0.00119116538636","0.0118094945431913","0.00966838598141391","0","0.00740058665468956","0.00501774177325531"
"ENSG00000076356.6_2","chr1",208195587,208417665,"-",222078,"ENSG00000076356.6_2","PLXNA2","protein_coding","Protein_coding","0.0110948620476265","0.0131920015035591","0.0228154851989193","0.0184722639977656","0.0219713960410852","0.031292068791586","0.0567000946188878","0.0476474661757354"
"ENSG00000136643.11_2","chr1",213224575,213448116,"+",223541,"ENSG00000136643.11_2","RPS6KC1","protein_coding","Protein_coding","0.385423191446454","0.373839075002386","0.3426816899269","0.318898323072574","0.256474308326626","0.301339297853019","0.315537938630269","0.312738818285915"
