,Chr,start,end,strand,length,ENSMID,geneName,geneType,simpleType,ProR1,ProR2,BasoR1,BasoR2,PolyR1,PolyR2,OrthoR1,OrthoR2
ENSG00000157911.9_3,chr1,2335403,2345236,-,9833,ENSG00000157911.9_3,PEX10,protein_coding,Protein_coding,6.094682092,6.569597832,3.013119048,3.188003421,1.807670586,1.498268454,1.551877056,1.453217215
ENSG00000149527.17_3,chr1,2357419,2436969,+,79550,ENSG00000149527.17_3,PLCH2,protein_coding,Protein_coding,0.015986211,0.023017389,0.028068319,0.026270805,0.019715486,0.026789598,0.020121409,0.026148522
ENSG00000116198.12_2,chr1,3728645,3773778,-,45133,ENSG00000116198.12_2,CEP104,protein_coding,Protein_coding,3.486877889,3.500355721,2.779964492,2.851988972,1.722050231,2.040660381,1.865477928,1.72932285
ENSG00000069424.14_2,chr1,6051526,6161253,+,109727,ENSG00000069424.14_2,KCNAB2,protein_coding,Protein_coding,3.464596208,3.617111396,1.576264867,1.581509837,1.110117193,1.08340716,0.81204535,0.781365655
ENSG00000007923.15_2,chr1,6694228,6761984,-,67756,ENSG00000007923.15_2,DNAJC11,protein_coding,Protein_coding,4.461124221,4.582177365,2.212991343,1.904309944,1.085350099,1.214349664,1.100871758,1.195968487
ENSG00000171735.18_3,chr1,6845384,7829766,+,984382,ENSG00000171735.18_3,CAMTA1,protein_coding,Protein_coding,0.040936438,0.043228355,0.050774138,0.046155582,0.053816454,0.063724077,0.053226161,0.045202341
ENSG00000049245.12_3,chr1,7831329,7841492,+,10163,ENSG00000049245.12_3,VAMP3,protein_coding,Protein_coding,23.32123064,23.78199332,24.07430502,25.2090142,28.2064958,28.8191469,29.20023706,26.0026597
ENSG00000142599.17_4,chr1,8412457,8877702,-,465245,ENSG00000142599.17_4,RERE,protein_coding,Protein_coding,0.481933507,0.461728399,0.207291396,0.213782036,0.173422098,0.210907875,0.239456207,0.197696384
ENSG00000011021.21_3,chr1,11866153,11903201,+,37048,ENSG00000011021.21_3,CLCN6,protein_coding,Protein_coding,5.176763257,5.306082301,4.348618419,4.082343889,5.06589395,5.059524058,7.06545434,6.215171509
ENSG00000175206.10_2,chr1,11905766,11908402,-,2636,ENSG00000175206.10_2,NPPA,protein_coding,Protein_coding,0.090456879,0.083355083,0,0.058726536,0,0.14060253,0.364337956,0.137237902
ENSG00000132906.17_3,chr1,15817327,15853029,-,35702,ENSG00000132906.17_3,CASP9,protein_coding,Protein_coding,1.309032807,1.341656815,0.786571927,0.856356,1.147045051,1.180857253,1.757486891,1.299524003
ENSG00000116138.12_2,chr1,15853308,15918874,+,65566,ENSG00000116138.12_2,DNAJC16,protein_coding,Protein_coding,3.191816534,3.37241228,2.729620431,2.623101887,2.76679638,2.83909417,3.717275284,3.300832567
ENSG00000255275.3_4,chr1,19175767,19247615,-,71848,ENSG00000255275.3_4,AL080251.1,protein_coding,Protein_coding,0.003318733,0.005096964,0,0.001077296,0,0,0.002970453,0.001258765
ENSG00000159423.16_3,chr1,19197924,19229275,-,31351,ENSG00000159423.16_3,ALDH4A1,protein_coding,Protein_coding,1.683381041,1.57224385,0.723162277,0.728316942,0.366857748,0.484697746,0.371007265,0.331746178
ENSG00000169991.10_3,chr1,19230775,19283180,-,52405,ENSG00000169991.10_3,IFFO2,protein_coding,Protein_coding,0.588470573,0.57301682,0.201565231,0.192008485,0.056530308,0.058347166,0.040725327,0.024160994
ENSG00000053371.12_3,chr1,19630459,19638640,-,8181,ENSG00000053371.12_3,AKR7A2,protein_coding,Protein_coding,19.25586391,18.82734663,15.87188958,13.82272341,8.115658084,10.02340846,6.5348955,6.378651967
ENSG00000040487.12_3,chr1,19638820,19655794,+,16974,ENSG00000040487.12_3,PQLC2,protein_coding,Protein_coding,3.816270597,3.408781246,4.497806814,4.815368362,4.794439486,5.666197475,4.501281135,3.841585939
ENSG00000117298.14_2,chr1,21543740,21671997,-,128257,ENSG00000117298.14_2,ECE1,protein_coding,Protein_coding,1.786608169,1.831361673,2.290631517,2.127295585,1.980986908,1.992469743,1.294600675,1.19733615
ENSG00000076864.19_3,chr1,21922708,21995856,-,73148,ENSG00000076864.19_3,RAP1GAP,protein_coding,Protein_coding,6.338044303,6.626444197,16.25685271,15.10932741,29.6005036,30.48076519,40.61530211,36.23871992
ENSG00000127423.10_2,chr1,26158404,26185949,-,27545,ENSG00000127423.10_2,AUNIP,protein_coding,Protein_coding,6.247134759,6.450661581,7.027395075,6.729960818,4.143846714,4.436909489,2.936525273,2.8138279
ENSG00000182749.5_3,chr1,26187701,26197744,-,10043,ENSG00000182749.5_3,PAQR7,protein_coding,Protein_coding,4.194480284,3.653679947,0.966269376,0.878599968,0.10411012,0.276781044,0.170005837,0.153089338
ENSG00000116525.13_2,chr1,33611003,33647660,-,36657,ENSG00000116525.13_2,TRIM62,protein_coding,Protein_coding,0.195142264,0.201799782,0.185077407,0.190035783,0.080815965,0.149132962,0.12517536,0.088818834
ENSG00000054116.11_2,chr1,36602171,36621654,-,19483,ENSG00000054116.11_2,TRAPPC3,protein_coding,Protein_coding,5.058614739,5.078737389,5.324690125,4.791166594,5.608114462,5.83535501,6.211043029,5.816406174
ENSG00000116871.15_4,chr1,36621180,36646450,+,25270,ENSG00000116871.15_4,MAP7D1,protein_coding,Protein_coding,3.705150036,3.689600973,2.803702582,2.490204986,2.220525621,2.497010799,2.11140758,1.825258672
ENSG00000174574.15_3,chr1,39456895,39471731,+,14836,ENSG00000174574.15_3,AKIRIN1,protein_coding,Protein_coding,11.65756422,11.51245538,14.80699571,15.21319702,19.20463649,21.06580536,22.58500221,20.47635571
